CMDLINE /Users/sam/.local/share/virtualenvs/streamlit_projects-QvPq4qHW/bin/python app.py
MEM 0.011719 1653847697.6718
MEM 23.820312 1653847697.7773
MEM 41.980469 1653847697.8825
MEM 52.207031 1653847697.9875
MEM 64.589844 1653847698.0913
MEM 73.867188 1653847698.1957
MEM 88.984375 1653847698.3009
MEM 99.710938 1653847698.4060
MEM 107.117188 1653847698.5111
MEM 115.023438 1653847698.6127
MEM 122.664062 1653847698.7170
MEM 125.933594 1653847698.8222
MEM 128.273438 1653847698.9273
MEM 133.292969 1653847699.0315
MEM 150.890625 1653847699.1342
MEM 151.753906 1653847699.2354
MEM 151.808594 1653847699.3406
